data_hora,area_atuacao,experiencia,om_conhecimento,mais_info,ia_desm,trab_ameacado,c_assist_ameaca,mais_seg,atencao,menos_seg,ia_descord,ia_confiavel,funcionalidades,av_aplicacao_ia,confianca,participar,email
2026-02-02 11:55:02,Médico Residente,Menos de 1 ano,Concordo,Concordo totalmente,Concordo totalmente,Concordo,Concordo,Não,Não tenho certeza,Sim,Sim,6,Uma indicação da confiança,2 - Negativa,Maior transparência do modelo,Não,
2026-02-02 12:10:33,Médico Especialista,4-7 anos,Concordo totalmente,Discordo,Discordo totalmente,Discordo,Discordo totalmente,Sim,Sim,Não,Não,8,A performance/acurácia do sistema,4 - Positiva,Responsabilidade e responsabilização,Sim,contato@drpaulo.com
2026-02-02 12:25:15,Médico Residente,1-3 anos,Discordo,Concordo totalmente,Concordo,Concordo totalmente,Concordo,Não tenho certeza,Sim,Sim,Sim,4,Uma explicação textual,2 - Negativa,Auditorias de proteção de dados,Não,
2026-02-02 12:40:50,Técnico em Radiologia,4-7 anos,Concordo,Não concordo nem discordo,Discordo,Não concordo nem discordo,Discordo,Sim,Sim,Não,Não,7,Uma recomendação para mais imagens/modalidades,3 - Neutra,Maior transparência do modelo,Não,
2026-02-02 13:00:22,Médico Especialista,8-15 anos,Concordo,Discordo,Discordo totalmente,Discordo totalmente,Discordo totalmente,Sim,Sim,Não,Não,9,"A performance/acurácia do sistema;Uma explicação visual",5 - Muito positiva,Auditorias de proteção de dados,Sim,luciana.rad@outlook.com
2026-02-02 13:15:45,Médico Residente,Menos de 1 ano,Não concordo nem discordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Não tenho certeza,Sim,Sim,Sim,3,Uma explicação visual,1 - Muito negativa,Responsabilidade e responsabilização,Não,
2026-02-02 13:30:10,Técnico em Radiologia,1-3 anos,Concordo,Concordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Sim,Não,Não,Sim,5,Uma explicação textual,3 - Neutra,Auditorias de proteção de dados,Não,
2026-02-02 13:50:55,Médico Especialista,4-7 anos,Concordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Sim,Sim,Não,Não,10,A performance/acurácia do sistema,5 - Muito positiva,Maior transparência do modelo,Sim,fernando.med@uol.com.br
2026-02-02 14:05:12,Médico Residente,1-3 anos,Discordo,Concordo totalmente,Concordo,Concordo,Concordo,Não tenho certeza,Sim,Sim,Sim,4,Uma indicação da confiança,2 - Negativa,Responsabilidade e responsabilização,Não,
2026-02-02 14:20:33,Médico Especialista,8-15 anos,Concordo,Discordo,Discordo totalmente,Discordo,Discordo totalmente,Sim,Sim,Não,Não,8,Uma explicação visual,4 - Positiva,Auditorias de proteção de dados,Não,
2026-02-02 14:35:45,Técnico em Radiologia,4-7 anos,Concordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Sim,Sim,Não tenho certeza,Não tenho certeza,6,Uma recomendação para mais imagens/modalidades,3 - Neutra,Maior transparência do modelo,Não,
2026-02-02 14:50:01,Médico Residente,Menos de 1 ano,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Não,Sim,Sim,Sim,2,Uma explicação textual,1 - Muito negativa,Responsabilidade e responsabilização,Sim,thiago.res@medicina.edu.br
2026-02-02 15:10:22,Médico Especialista,4-7 anos,Concordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Sim,Sim,Não,Não,9,A performance/acurácia do sistema,5 - Muito positiva,Maior transparência do modelo,Não,
2026-02-02 15:25:40,Outro,Não possuo experiência em laudos de exames de Radiologia,Não concordo nem discordo,Concordo,Concordo,Concordo,Concordo,Não tenho certeza,Não tenho certeza,Sim,Sim,5,Uma indicação da confiança,2 - Negativa,Auditorias de proteção de dados,Não,
2026-02-02 15:40:15,Médico Residente,1-3 anos,Concordo,Concordo,Não concordo nem discordo,Concordo,Não concordo nem discordo,Sim,Sim,Sim,Sim,6,Uma explicação visual,3 - Neutra,Responsabilidade e responsabilização,Sim,julia.rad@hospital.com
2026-02-02 16:00:55,Médico Especialista,8-15 anos,Concordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Sim,Sim,Não,Não,10,A performance/acurácia do sistema,5 - Muito positiva,Maior transparência do modelo,Não,
2026-02-02 16:15:30,Técnico em Radiologia,8-15 anos,Concordo,Discordo,Discordo totalmente,Discordo,Discordo totalmente,Sim,Sim,Não,Não,8,Uma recomendação para mais imagens/modalidades,4 - Positiva,Auditorias de proteção de dados,Não,
2026-02-02 16:30:12,Médico Residente,Menos de 1 ano,Discordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Não,Sim,Sim,Sim,3,Uma explicação textual,1 - Muito negativa,Responsabilidade e responsabilização,Não,
2026-02-02 16:45:50,Médico Especialista,4-7 anos,Concordo,Não concordo nem discordo,Discordo,Não concordo nem discordo,Discordo,Sim,Sim,Não,Não,7,Uma indicação da confiança,4 - Positiva,Maior transparência do modelo,Sim,ricardo.especialista@terra.com.br
2026-02-02 17:00:22,Médico Residente,1-3 anos,Concordo,Concordo totalmente,Concordo,Concordo,Concordo,Sim,Sim,Sim,Sim,6,Uma explicação visual,3 - Neutra,Responsabilidade e responsabilização,Não,
2026-02-02 17:15:40,Técnico em Radiologia,4-7 anos,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não tenho certeza,Não,Não tenho certeza,Sim,5,Uma recomendação para mais imagens/modalidades,3 - Neutra,Auditorias de proteção de dados,Não,
2026-02-02 17:30:15,Médico Especialista,8-15 anos,Concordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Sim,Sim,Não,Não,10,A performance/acurácia do sistema,5 - Muito positiva,Maior transparência do modelo,Não,
2026-02-02 17:45:55,Médico Residente,Menos de 1 ano,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Não,Sim,Sim,Sim,2,Uma explicação textual,1 - Muito negativa,Responsabilidade e responsabilização,Sim,felipe.med@resid.com
2026-02-02 18:00:33,Médico Especialista,4-7 anos,Concordo,Discordo,Discordo totalmente,Discordo,Discordo totalmente,Sim,Sim,Não,Não,8,Uma explicação visual,4 - Positiva,Auditorias de proteção de dados,Não,
2026-02-02 18:15:10,Técnico em Radiologia,1-3 anos,Concordo,Concordo,Concordo,Concordo,Concordo,Sim,Sim,Sim,Sim,5,Uma indicação da confiança,2 - Negativa,Maior transparência do modelo,Não,
2026-02-02 18:30:50,Médico Especialista,8-15 anos,Concordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Sim,Sim,Não,Não,9,A performance/acurácia do sistema,5 - Muito positiva,Auditorias de proteção de dados,Sim,beatriz.rad@centro.com.br
2026-02-02 18:45:12,Médico Residente,1-3 anos,Não concordo nem discordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Não tenho certeza,Sim,Sim,Sim,4,Uma explicação textual,2 - Negativa,Responsabilidade e responsabilização,Não,
2026-02-02 19:00:22,Médico Especialista,4-7 anos,Concordo,Não concordo nem discordo,Discordo,Não concordo nem discordo,Discordo,Sim,Sim,Não,Não,7,Uma explicação visual,3 - Neutra,Maior transparência do modelo,Não,
2026-02-02 19:15:45,Outro,Não possuo experiência em laudos de exames de Radiologia,Concordo,Concordo totalmente,Não concordo nem discordo,Concordo,Não concordo nem discordo,Sim,Não,Sim,Sim,6,Uma recomendação para mais imagens/modalidades,4 - Positiva,Auditorias de proteção de dados,Sim,contato.pesquisa@ia.net
